title,title1,artist,artistdetails,date,medium,accession,view,date1,date2,date3,date4,newdate2,newdate3,newdate21,newdate,newdate22,flag,artist_met,met
"Madame Manet (Suzanne Leenhoff, 1830–1906) at Bellevue ","Madame Manet (Suzanne Leenhoff, 1830–1906) at Bellevue",Édouard Manet,"(French, Paris 1832–1883 Paris)",Date: 1880,Medium: Oil on canvas,Accession Number: 1997.391.4,On view in Gallery 821,Date:,1880,,,1880,,1880,1880,,,Édouard Manet,1
Jean-Baptiste Faure (1830–1914) ,Jean-Baptiste Faure (1830–1914),Édouard Manet,"(French, Paris 1832–1883 Paris)",Date: 1882–83,Medium: Oil on canvas,Accession Number: 50.71.1,Not on view,Date:,1882–83,,,1882–83,,1882,1882,83,1,Édouard Manet,1
Head of Jean-Baptiste Faure (1830–1914) ,Head of Jean-Baptiste Faure (1830–1914),Édouard Manet,"(French, Paris 1832–1883 Paris)",Date: 1882–83,Medium: Oil on canvas,Accession Number: 59.129,On view in Gallery 809,Date:,1882–83,,,1882–83,,1882,1882,83,1,Édouard Manet,1
"Still Life with Flowers, Fan, and Pearls ","Still Life with Flowers, Fan, and Pearls",Édouard Manet,"(French, Paris 1832–1883 Paris)",Date: ca. 1860,Medium: Oil on canvas,Accession Number: 1993.399,Not on view,Date:,ca.,1860,,1860,1860,1860,1860,,,Édouard Manet,1
Strawberries,Strawberries,Édouard Manet,"(French, Paris 1832–1883 Paris)",Date: ca. 1882,Medium: Oil on canvas,Accession Number: 56.230.1,Not on view,Date:,ca.,1882,,1882,1882,1882,1882,,,Édouard Manet,1
Young Sailor II ,Young Sailor II,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1906,Medium: Oil on canvas,Accession Number: 1999.363.41,On view in Gallery 904,Date:,1906,,,1906,,1906,1906,,,Henri Matisse,1
Nasturtiums with the Painting Dance I ,Nasturtiums with the Painting Dance I,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1912,Medium: Oil on canvas,Accession Number: 1984.433.16,On view in Gallery 830,Date:,1912,,,1912,,1912,1912,,,Henri Matisse,1
"Laurette in a Green Robe, Black Background ","Laurette in a Green Robe, Black Background",Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1916,Medium: Oil on canvas,Accession Number: 1999.363.43,On view in Gallery 904,Date:,1916,,,1916,,1916,1916,,,Henri Matisse,1
View of Collioure ,View of Collioure,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1907,Medium: Oil on canvas,Accession Number: 1999.363.42,On view in Gallery 904,Date:,1907,,,1907,,1907,1907,,,Henri Matisse,1
"Odalisque, Harmony in Red","Odalisque, Harmony in Red",Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1926–27,Medium: Oil on canvas,Accession Number: 1999.363.44,Not on view,Date:,1926–27,,,1926–27,,1926,1926,27,1,Henri Matisse,1
Tree ,Tree,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1951,"Medium: Brush and black ink, white gouache, and charcoal on tan paper mounted on canvas",Accession Number: 2002.456.48,Not on view,Date:,1951,,,1951,,1951,1951,,,Henri Matisse,1
Lilacs ,Lilacs,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1914,Medium: Oil on canvas,Accession Number: 2002.456.4,On view in Gallery 830,Date:,1914,,,1914,,1914,1914,,,Henri Matisse,1
The Three O&#39;Clock Sitting ,The Three O'Clock Sitting,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1924,Medium: Oil on canvas,Accession Number: 2008.551,On view in Gallery 830,Date:,1924,,,1924,,1924,1924,,,Henri Matisse,1
Marguerite with Black Velvet Ribbon ,Marguerite with Black Velvet Ribbon,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1916,Medium: Oil on wood,Accession Number: 2002.456.14,Not on view,Date:,1916,,,1916,,1916,1916,,,Henri Matisse,1
Snow Flowers ,Snow Flowers,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1951,Medium: Watercolor and gouache on cut and pasted papers,Accession Number: 1999.363.46,Not on view,Date:,1951,,,1951,,1951,1951,,,Henri Matisse,1
Reclining Odalisque,Reclining Odalisque,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1926,Medium: Oil on canvas,Accession Number: 67.187.82,On view in Gallery 830,Date:,1926,,,1926,,1926,1926,,,Henri Matisse,1
Dance: Study for the Barnes Mural (Second Version),Dance: Study for the Barnes Mural (Second Version),Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1931–32,Medium: Gouache and pencil on paper,Accession Number: 2002.456.43,Not on view,Date:,1931–32,,,1931–32,,1931,1931,32,1,Henri Matisse,1
Odalisque with Gray Trousers,Odalisque with Gray Trousers,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1927,Medium: Oil on canvas,Accession Number: 1997.400,On view in Gallery 823,Date:,1927,,,1927,,1927,1927,,,Henri Matisse,1
Still Life with Vegetables,Still Life with Vegetables,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: ca. 1905,Medium: Oil on canvas,Accession Number: 1999.363.38,Not on view,Date:,ca.,1905,,1905,1905,1905,1905,,,Henri Matisse,1
"Chapel of Saint Joseph, Saint-Tropez","Chapel of Saint Joseph, Saint-Tropez",Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1904,Medium: Oil on canvas,Accession Number: 2002.456.13,On view in Gallery 830,Date:,1904,,,1904,,1904,1904,,,Henri Matisse,1
Marguerite Wearing a Hat ,Marguerite Wearing a Hat,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1918,Medium: Oil on canvas,Accession Number: 2002.456.15,On view in Gallery 830,Date:,1918,,,1918,,1918,1918,,,Henri Matisse,1
Nono Lebasque ,Nono Lebasque,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1908,Medium: Oil on canvas,Accession Number: 67.187.83,On view in Gallery 830,Date:,1908,,,1908,,1908,1908,,,Henri Matisse,1
The Promenade,The Promenade,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1919,Medium: Oil on canvas board,Accession Number: 1984.433.17,Not on view,Date:,1919,,,1919,,1919,1919,,,Henri Matisse,1
"Landscape, Nice","Landscape, Nice",Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1919,Medium: Oil on canvas board,Accession Number: 1984.433.18,Not on view,Date:,1919,,,1919,,1919,1919,,,Henri Matisse,1
Girl by a Window,Girl by a Window,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1921,Medium: Oil on canvas,Accession Number: 1994.545,Not on view,Date:,1921,,,1921,,1921,1921,,,Henri Matisse,1
The Goldfish Bowl,The Goldfish Bowl,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: winter 1921–22,Medium: Oil on canvas,Accession Number: 1984.433.19,On view in Gallery 830,Date:,winter,1921–22,,winter,1921–22,,,,,Henri Matisse,1
Seated Odalisque ,Seated Odalisque,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1926,Medium: Oil on canvas,Accession Number: 62.112,On view in Gallery 830,Date:,1926,,,1926,,1926,1926,,,Henri Matisse,1
Pansies ,Pansies,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: ca. 1903,Medium: Oil on paper mounted on paperboard,Accession Number: 1976.201.22,Not on view,Date:,ca.,1903,,1903,1903,1903,1903,,,Henri Matisse,1
Olive Trees at Collioure,Olive Trees at Collioure,Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: summer 1905 (?,Medium: Oil on canvas,Accession Number: 1975.1.194,On view in Gallery 962,Date:,summer,1905,(?,summer,1905,,,,,Henri Matisse,1
Espagnole: Harmonie en bleu (Spanish Woman: Harmony in Blue) ,Espagnole: Harmonie en bleu (Spanish Woman: Harmony in Blue),Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1923,Medium: Oil on canvas,Accession Number: 1975.1.193,On view in Gallery 962,Date:,1923,,,1923,,1923,1923,,,Henri Matisse,1
Nude in an Armchair (Nu au fauteuil) ,Nude in an Armchair (Nu au fauteuil),Henri Matisse,"(French, Le Cateau-Cambrésis 1869–1954 Nice)",Date: 1920,Medium: Oil on canvas board,Accession Number: 1975.1.195,Not on view,Date:,1920,,,1920,,1920,1920,,,Henri Matisse,1
Potato ,Potato,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1928,Medium: Oil on canvas,Accession Number: 1999.363.50,On view in Gallery 906,Date:,1928,,,1928,,1928,1928,,,Joan Miró,1
Dutch Interior (III) ,Dutch Interior (III),Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1928,Medium: Oil on canvas,Accession Number: 1996.403.8,Not on view,Date:,1928,,,1928,,1928,1928,,,Joan Miró,1
"Vines and Olive Trees, Tarragona","Vines and Olive Trees, Tarragona",Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1919,Medium: Oil on canvas,Accession Number: 1999.363.48,On view in Gallery 906,Date:,1919,,,1919,,1919,1919,,,Joan Miró,1
Photo: This Is the Color of My Dreams,Photo: This Is the Color of My Dreams,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1925,Medium: Oil on canvas,Accession Number: 2002.456.5,On view in Gallery 901,Date:,1925,,,1925,,1925,1925,,,Joan Miró,1
Animated Landscape,Animated Landscape,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1927,Medium: Oil on canvas,Accession Number: 1999.363.49,On view in Gallery 906,Date:,1927,,,1927,,1927,1927,,,Joan Miró,1
Seated Nude Holding a Flower ,Seated Nude Holding a Flower,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1917,Medium: Oil on canvas,Accession Number: 1999.363.47,On view in Gallery 906,Date:,1917,,,1917,,1917,1917,,,Joan Miró,1
Constellation: Toward the Rainbow ,Constellation: Toward the Rainbow,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1941,Medium: Gouache and oil wash on paper,Accession Number: 1999.363.53,Not on view,Date:,1941,,,1941,,1941,1941,,,Joan Miró,1
Circus Horse ,Circus Horse,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1927,Medium: Tempera on canvas,Accession Number: 2006.32.44,On view in Gallery 913,Date:,1927,,,1927,,1927,1927,,,Joan Miró,1
Painting,Painting,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1927,Medium: Tempera and oil on canvas,Accession Number: 1984.207,Not on view,Date:,1927,,,1927,,1927,1927,,,Joan Miró,1
"Women, Birds, and a Star ","Women, Birds, and a Star",Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1949,Medium: Oil on canvas,Accession Number: 1999.363.55,On view in Gallery 906,Date:,1949,,,1949,,1949,1949,,,Joan Miró,1
Women and Bird in the Night,Women and Bird in the Night,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1944,Medium: Gouache on canvas,Accession Number: 1999.363.54,Not on view,Date:,1944,,,1944,,1944,1944,,,Joan Miró,1
Untitled,Untitled,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1931,Medium: Oil and ink on wood,Accession Number: 1999.363.51,On view in Gallery 906,Date:,1931,,,1931,,1931,1931,,,Joan Miró,1
Constellation: Women on the Beach,Constellation: Women on the Beach,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1940,Medium: Gouache and oil wash on paper,Accession Number: 1999.363.52,Not on view,Date:,1940,,,1940,,1940,1940,,,Joan Miró,1
Untitled,Untitled,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1966,"Medium: Ink, watercolor and gouache on paper",Accession Number: 1987.382,Not on view,Date:,1966,,,1966,,1966,1966,,,Joan Miró,1
Collage Painting ,Collage Painting,Joan Miró,"(Spanish, Barcelona 1893–1983 Palma de Mallorca)",Date: 1934,"Medium: Sandpaper, gouache, mirror, and thread",Accession Number: 2002.456.147,Not on view,Date:,1934,,,1934,,1934,1934,,,Joan Miró,1
Garden at Sainte-Adresse,Garden at Sainte-Adresse,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1867,Medium: Oil on canvas,Accession Number: 67.241,On view in Gallery 818,Date:,1867,,,1867,,1867,1867,,,Claude Monet,1
La Grenouillère,La Grenouillère,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1869,Medium: Oil on canvas,Accession Number: 29.100.112,Not on view,Date:,1869,,,1869,,1869,1869,,,Claude Monet,1
Regatta at Sainte-Adresse,Regatta at Sainte-Adresse,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1867,Medium: Oil on canvas,Accession Number: 51.30.4,On view in Gallery 818,Date:,1867,,,1867,,1867,1867,,,Claude Monet,1
The Four Trees,The Four Trees,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1891,Medium: Oil on canvas,Accession Number: 29.100.110,On view in Gallery 819,Date:,1891,,,1891,,1891,1891,,,Claude Monet,1
The Manneporte (Étretat),The Manneporte (Étretat),Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1883,Medium: Oil on canvas,Accession Number: 51.30.5,On view in Gallery 819,Date:,1883,,,1883,,1883,1883,,,Claude Monet,1
Rouen Cathedral: The Portal (Sunlight) ,Rouen Cathedral: The Portal (Sunlight),Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1894,Medium: Oil on canvas,Accession Number: 30.95.250,On view in Gallery 819,Date:,1894,,,1894,,1894,1894,,,Claude Monet,1
Camille Monet (1847–1879) on a Garden Bench,Camille Monet (1847–1879) on a Garden Bench,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1873,Medium: Oil on canvas,Accession Number: 2002.62.1,On view in Gallery 821,Date:,1873,,,1873,,1873,1873,,,Claude Monet,1
Jean Monet (1867–1913) on His Hobby Horse,Jean Monet (1867–1913) on His Hobby Horse,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1872,Medium: Oil on canvas,Accession Number: 2000.195,On view in Gallery 818,Date:,1872,,,1872,,1872,1872,,,Claude Monet,1
Bouquet of Sunflowers ,Bouquet of Sunflowers,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1881,Medium: Oil on canvas,Accession Number: 29.100.107,On view in Gallery 819,Date:,1881,,,1881,,1881,1881,,,Claude Monet,1
The Manneporte near Étretat ,The Manneporte near Étretat,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1886,Medium: Oil on canvas,Accession Number: 31.67.11,On view in Gallery 819,Date:,1886,,,1886,,1886,1886,,,Claude Monet,1
Camille Monet (1847–1879) in the Garden at Argenteuil ,Camille Monet (1847–1879) in the Garden at Argenteuil,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1876,Medium: Oil on canvas,Accession Number: 2000.93.1,On view in Gallery 821,Date:,1876,,,1876,,1876,1876,,,Claude Monet,1
Haystacks (Effect of Snow and Sun),Haystacks (Effect of Snow and Sun),Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1891,Medium: Oil on canvas,Accession Number: 29.100.109,On view in Gallery 819,Date:,1891,,,1891,,1891,1891,,,Claude Monet,1
"The Bodmer Oak, Fontainebleau Forest","The Bodmer Oak, Fontainebleau Forest",Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1865,Medium: Oil on canvas,Accession Number: 64.210,On view in Gallery 818,Date:,1865,,,1865,,1865,1865,,,Claude Monet,1
Landscape: The Parc Monceau,Landscape: The Parc Monceau,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1876,Medium: Oil on canvas,Accession Number: 59.206,On view in Gallery 818,Date:,1876,,,1876,,1876,1876,,,Claude Monet,1
Rapids on the Petite Creuse at Fresselines,Rapids on the Petite Creuse at Fresselines,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1889,Medium: Oil on canvas,Accession Number: 67.187.88,Not on view,Date:,1889,,,1889,,1889,1889,,,Claude Monet,1
The Green Wave,The Green Wave,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: ca. 1866–67,Medium: Oil on canvas,Accession Number: 29.100.111,On view in Gallery 818,Date:,ca.,1866–67,,1866–67,1866–67,1866,1866,67,1,Claude Monet,1
The Doge&#39;s Palace Seen from San Giorgio Maggiore,The Doge's Palace Seen from San Giorgio Maggiore,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1908,Medium: Oil on canvas,Accession Number: 59.188.1,Not on view,Date:,1908,,,1908,,1908,1908,,,Claude Monet,1
Bridge over a Pond of Water Lilies ,Bridge over a Pond of Water Lilies,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1899,Medium: Oil on canvas,Accession Number: 29.100.113,On view in Gallery 819,Date:,1899,,,1899,,1899,1899,,,Claude Monet,1
Vétheuil in Summer,Vétheuil in Summer,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1880,Medium: Oil on canvas,Accession Number: 51.30.3,On view in Gallery 818,Date:,1880,,,1880,,1880,1880,,,Claude Monet,1
The Parc Monceau ,The Parc Monceau,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1878,Medium: Oil on canvas,Accession Number: 59.142,On view in Gallery 818,Date:,1878,,,1878,,1878,1878,,,Claude Monet,1
View of Vétheuil ,View of Vétheuil,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1880,Medium: Oil on canvas,Accession Number: 56.135.1,On view in Gallery 818,Date:,1880,,,1880,,1880,1880,,,Claude Monet,1
Apples and Grapes,Apples and Grapes,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: ca. 1879–80,Medium: Oil on canvas,Accession Number: 57.183,Not on view,Date:,ca.,1879–80,,1879–80,1879–80,1879,1879,80,1,Claude Monet,1
"The Stroller (Suzanne Hoschedé, later Mrs. Theodore Earl Butler, 1868–1899) ","The Stroller (Suzanne Hoschedé, later Mrs. Theodore Earl Butler, 1868–1899)",Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1887,Medium: Oil on canvas,Accession Number: 2003.20.7,On view in Gallery 821,Date:,1887,,,1887,,1887,1887,,,Claude Monet,1
Spring (Fruit Trees in Bloom),Spring (Fruit Trees in Bloom),Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1873,Medium: Oil on canvas,Accession Number: 26.186.1,Not on view,Date:,1873,,,1873,,1873,1873,,,Claude Monet,1
Palm Trees at Bordighera,Palm Trees at Bordighera,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1884,Medium: Oil on canvas,Accession Number: 67.187.87,Not on view,Date:,1884,,,1884,,1884,1884,,,Claude Monet,1
Ice Floes,Ice Floes,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1893,Medium: Oil on canvas,Accession Number: 29.100.108,Not on view,Date:,1893,,,1893,,1893,1893,,,Claude Monet,1
Dr. Leclenché ,Dr. Leclenché,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1864,Medium: Oil on canvas,Accession Number: 51.32,Not on view,Date:,1864,,,1864,,1864,1864,,,Claude Monet,1
Chrysanthemums ,Chrysanthemums,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1882,Medium: Oil on canvas,Accession Number: 29.100.106,On view in Gallery 819,Date:,1882,,,1882,,1882,1882,,,Claude Monet,1
Water Lilies,Water Lilies,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1919,Medium: Oil on canvas,Accession Number: 1998.325.2,On view in Gallery 822,Date:,1919,,,1919,,1919,1919,,,Claude Monet,1
Morning on the Seine near Giverny,Morning on the Seine near Giverny,Claude Monet,"(French, Paris 1840–1926 Giverny)",Date: 1897,Medium: Oil on canvas,Accession Number: 56.135.4,On view in Gallery 819,Date:,1897,,,1897,,1897,1897,,,Claude Monet,1
Lucie Desnos ,Lucie Desnos,Francis Picabia,"(French, Paris 1879–1953 Paris)",Date: ca. 1940–41,Medium: Oil on cardboard,Accession Number: 1983.455,Not on view,Date:,ca.,1940–41,,1940–41,1940–41,1940,1940,41,1,Francis Picabia,1
The Globe,The Globe,Francis Picabia,"(French, Paris 1879–1953 Paris)",Date: ca. 1924–27,"Medium: Gouache, watercolor, graphite, and ink on paper",Accession Number: 49.70.17,Not on view,Date:,ca.,1924–27,,1924–27,1924–27,1924,1924,27,1,Francis Picabia,1
The Musketeer ,The Musketeer,Francis Picabia,"(French, Paris 1879–1953 Paris)",Date: 1924,Medium: Gouache on paper,Accession Number: 49.70.13,Not on view,Date:,1924,,,1924,,1924,1924,,,Francis Picabia,1
Bird and Turtle ,Bird and Turtle,Francis Picabia,"(French, Paris 1879–1953 Paris)",Date: ca. 1925–27,"Medium: Gouache, watercolor, graphite, and conté crayon on paper",Accession Number: 49.70.16,Not on view,Date:,ca.,1925–27,,1925–27,1925–27,1925,1925,27,1,Francis Picabia,1
Gertrude Stein ,Gertrude Stein,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1905–6,Medium: Oil on canvas,Accession Number: 47.106,On view in Gallery 911,Date:,1905–6,,,1905–6,,1905,1905,6,1,Pablo Picasso,1
At the Lapin Agile ,At the Lapin Agile,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1905,Medium: Oil on canvas,Accession Number: 1992.391,On view in Gallery 822,Date:,1905,,,1905,,1905,1905,,,Pablo Picasso,1
The Actor ,The Actor,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1904–5,Medium: Oil on canvas,Accession Number: 52.175,On view in Gallery 830,Date:,1904–5,,,1904–5,,1904,1904,5,1,Pablo Picasso,1
The Watering Place,The Watering Place,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1905–6,Medium: Gouache on tan paper board,Accession Number: 1984.433.274,On view in Gallery 690,Date:,1905–6,,,1905–6,,1905,1905,6,1,Pablo Picasso,1
La Coiffure ,La Coiffure,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1906,Medium: Oil on canvas,Accession Number: 53.140.3,On view in Gallery 830,Date:,1906,,,1906,,1906,1906,,,Pablo Picasso,1
Seated Harlequin ,Seated Harlequin,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1901,"Medium: Oil on canvas, lined and mounted to a sheet of pressed cork",Accession Number: 60.87,On view in Gallery 917,Date:,1901,,,1901,,1901,1901,,,Pablo Picasso,1
The Blind Man&#39;s Meal,The Blind Man's Meal,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1903,Medium: Oil on canvas,Accession Number: 50.188,Not on view,Date:,1903,,,1903,,1903,1903,,,Pablo Picasso,1
Woman in White ,Woman in White,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1923,"Medium: Oil, water-based paint, and crayon on canvas",Accession Number: 53.140.4,On view in Gallery 830,Date:,1923,,,1923,,1923,1923,,,Pablo Picasso,1
Nude Standing by the Sea ,Nude Standing by the Sea,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1929,Medium: Oil on canvas,Accession Number: 1996.403.4,On view in Gallery 913,Date:,1929,,,1929,,1929,1929,,,Pablo Picasso,1
Guitar and Clarinet on a Mantelpiece ,Guitar and Clarinet on a Mantelpiece,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1915,"Medium: Oil, sand, and paper on canvas",Accession Number: 1996.403.3,On view in Gallery 910,Date:,1915,,,1915,,1915,1915,,,Pablo Picasso,1
Josep Fondevila ,Josep Fondevila,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1906,Medium: Oil on canvas,Accession Number: 1992.37,Not on view,Date:,1906,,,1906,,1906,1906,,,Pablo Picasso,1
Still Life with a Bottle of Rum ,Still Life with a Bottle of Rum,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1911,Medium: Oil on canvas,Accession Number: 1999.363.63,On view in Gallery 905,Date:,1911,,,1911,,1911,1911,,,Pablo Picasso,1
Harlequin ,Harlequin,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1927,Medium: Oil on canvas,Accession Number: 1997.149.5,Not on view,Date:,1927,,,1927,,1927,1927,,,Pablo Picasso,1
Bust of a Man ,Bust of a Man,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1908,Medium: Oil on canvas,Accession Number: 1996.403.5,On view in Gallery 911,Date:,1908,,,1908,,1908,1908,,,Pablo Picasso,1
Head of a Woman ,Head of a Woman,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1927,Medium: Oil and charcoal on canvas,Accession Number: 1999.363.66,On view in Gallery 906,Date:,1927,,,1927,,1927,1927,,,Pablo Picasso,1
Self-Portrait ,Self-Portrait,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1906,Medium: Oil on canvas mounted on honeycomb panel,Accession Number: 1999.363.59,On view in Gallery 904,Date:,1906,,,1906,,1906,1906,,,Pablo Picasso,1
Pipe Rack and Still Life on a Table,Pipe Rack and Still Life on a Table,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1911,Medium: Oil and charcoal on canvas,Accession Number: 1997.149.6,On view in Gallery 908,Date:,1911,,,1911,,1911,1911,,,Pablo Picasso,1
Erotic Scene (La Douceur) ,Erotic Scene (La Douceur),Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1903,Medium: Oil on canvas,Accession Number: 1984.433.22,On view in Gallery 852,Date:,1903,,,1903,,1903,1903,,,Pablo Picasso,1
Woman Ironing ,Woman Ironing,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1901,"Medium: Oil on canvas, mounted on cardboard",Accession Number: 49.70.2,Not on view,Date:,1901,,,1901,,1901,1901,,,Pablo Picasso,1
Woman in an Armchair ,Woman in an Armchair,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1909–10,Medium: Oil on canvas,Accession Number: 1997.149.7,On view in Gallery 908,Date:,1909–10,,,1909–10,,1909,1909,10,1,Pablo Picasso,1
Mother and Child by a Fountain ,Mother and Child by a Fountain,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1901,Medium: Oil on canvas,Accession Number: 1984.433.23,Not on view,Date:,1901,,,1901,,1901,1901,,,Pablo Picasso,1
"Mandolin, Fruit Bowl, and Plaster Arm","Mandolin, Fruit Bowl, and Plaster Arm",Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1925,Medium: Oil on canvas,Accession Number: 1996.403.2,Not on view,Date:,1925,,,1925,,1925,1925,,,Pablo Picasso,1
Head of a Woman ,Head of a Woman,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1903,Medium: Oil on canvas,Accession Number: 67.187.91,Not on view,Date:,1903,,,1903,,1903,1903,,,Pablo Picasso,1
Reading at a Table ,Reading at a Table,Pablo Picasso,"(Spanish, Malaga 1881–1973 Mougins, France )",Date: 1934,Medium: Oil on canvas,Accession Number: 1996.403.1,On view in Gallery 901,Date:,1934,,,1934,,1934,1934,,,Pablo Picasso,1
